[Epoch 96/120] Train Loss: 0.4312 | Val Loss: 0.6447 (EMA) | Val Acc: 0.9065 (Best: 0.9068) | lr: 3.15e-05 | time/epoch: 158.3s
[Epoch 97/120] Train Loss: 0.4252 | Val Loss: 0.6451 (EMA) | Val Acc: 0.9058 (Best: 0.9068) | lr: 2.91e-05 | time/epoch: 148.5s
[Epoch 98/120] Train Loss: 0.4226 | Val Loss: 0.6443 (EMA) | Val Acc: 0.9052 (Best: 0.9068) | lr: 2.68e-05 | time/epoch: 149.1s
[Epoch 99/120] Train Loss: 0.4226 | Val Loss: 0.6434 (EMA) | Val Acc: 0.9050 (Best: 0.9068) | lr: 2.45e-05 | time/epoch: 119.7s
[Epoch 100/120] Train Loss: 0.4232 | Val Loss: 0.6446 (EMA) | Val Acc: 0.9055 (Best: 0.9068) | lr: 2.24e-05 | time/epoch: 117.4s
[Epoch 101/120] Train Loss: 0.4235 | Val Loss: 0.6448 (EMA) | Val Acc: 0.9036 (Best: 0.9068) | lr: 2.04e-05 | time/epoch: 116.0s
[Epoch 102/120] Train Loss: 0.4208 | Val Loss: 0.6447 (EMA) | Val Acc: 0.9044 (Best: 0.9068) | lr: 1.84e-05 | time/epoch: 116.3s
[Epoch 103/120] Train Loss: 0.4215 | Val Loss: 0.6448 (EMA) | Val Acc: 0.9050 (Best: 0.9068) | lr: 1.66e-05 | time/epoch: 115.3s
[Epoch 104/120] Train Loss: 0.4184 | Val Loss: 0.6443 (EMA) | Val Acc: 0.9050 (Best: 0.9068) | lr: 1.48e-05 | time/epoch: 115.5s
[Epoch 105/120] Train Loss: 0.4182 | Val Loss: 0.6441 (EMA) | Val Acc: 0.9055 (Best: 0.9068) | lr: 1.32e-05 | time/epoch: 115.3s
[Epoch 106/120] Train Loss: 0.4199 | Val Loss: 0.6439 (EMA) | Val Acc: 0.9052 (Best: 0.9068) | lr: 1.16e-05 | time/epoch: 117.2s
[Epoch 107/120] Train Loss: 0.4210 | Val Loss: 0.6437 (EMA) | Val Acc: 0.9068 (Best: 0.9068) | lr: 1.02e-05 | time/epoch: 117.9s
[Epoch 108/120] Train Loss: 0.4157 | Val Loss: 0.6433 (EMA) | Val Acc: 0.9073 (Best: 0.9068) | lr: 8.83e-06 | time/epoch: 117.0s
[Epoch 109/120] Train Loss: 0.4179 | Val Loss: 0.6430 (EMA) | Val Acc: 0.9068 (Best: 0.9073) | lr: 7.59e-06 | time/epoch: 115.9s
[Epoch 110/120] Train Loss: 0.4160 | Val Loss: 0.6434 (EMA) | Val Acc: 0.9068 (Best: 0.9073) | lr: 6.45e-06 | time/epoch: 116.0s
[Epoch 111/120] Train Loss: 0.4201 | Val Loss: 0.6434 (EMA) | Val Acc: 0.9068 (Best: 0.9073) | lr: 5.42e-06 | time/epoch: 115.9s
[Epoch 112/120] Train Loss: 0.4160 | Val Loss: 0.6434 (EMA) | Val Acc: 0.9071 (Best: 0.9073) | lr: 4.50e-06 | time/epoch: 127.3s
[Epoch 113/120] Train Loss: 0.4165 | Val Loss: 0.6438 (EMA) | Val Acc: 0.9073 (Best: 0.9073) | lr: 3.68e-06 | time/epoch: 128.7s
[Epoch 114/120] Train Loss: 0.4182 | Val Loss: 0.6436 (EMA) | Val Acc: 0.9076 (Best: 0.9073) | lr: 2.97e-06 | time/epoch: 116.7s
[Epoch 115/120] Train Loss: 0.4156 | Val Loss: 0.6441 (EMA) | Val Acc: 0.9073 (Best: 0.9076) | lr: 2.37e-06 | time/epoch: 115.5s
[Epoch 116/120] Train Loss: 0.4171 | Val Loss: 0.6439 (EMA) | Val Acc: 0.9071 (Best: 0.9076) | lr: 1.88e-06 | time/epoch: 133.2s
[Epoch 117/120] Train Loss: 0.4163 | Val Loss: 0.6435 (EMA) | Val Acc: 0.9071 (Best: 0.9076) | lr: 1.49e-06 | time/epoch: 115.6s
[Epoch 118/120] Train Loss: 0.4150 | Val Loss: 0.6439 (EMA) | Val Acc: 0.9071 (Best: 0.9076) | lr: 1.22e-06 | time/epoch: 115.3s
[Epoch 119/120] Train Loss: 0.4135 | Val Loss: 0.6442 (EMA) | Val Acc: 0.9068 (Best: 0.9076) | lr: 1.05e-06 | time/epoch: 115.9s
[Epoch 120/120] Train Loss: 0.4147 | Val Loss: 0.6444 (EMA) | Val Acc: 0.9068 (Best: 0.9076) | lr: 1.00e-06 | time/epoch: 116.1s
